Respondent_ID,Q1_Age_Group,Q2_Marital_Dependent_Status,Q3_City_Tier,Q4_Financial_Dependents,Q5_Employment_Status,Q6_Monthly_Income,Q7_Income_Stability,Q8_Monthly_Expenditure,Q9_Top_Spending_Categories,Q10_Impulse_Purchase_Frequency,Q11_Spending_Triggers,Q12_Active_Subscriptions,Q13_Statement_Review_Frequency,Q14_Financial_Goals,Q15_Savings_Percentage,Q16_Financial_Challenges,Q17_Financial_Confidence,Q18_Financial_Stress_Level,Q19_Budget_Behavior,Q20_Finance_App_Usage,Q21_Financial_Literacy,Q22_Digital_Comfort_Level,Q23_Preferred_Features,Q24_Willingness_To_Pay,Q25_BudgetLife_Interest,Persona_Tag
R0011,25–34,"Single, no dependents",Tier 2,0,Salaried (Private),"₹50,001–₹1,00,000",Very stable (fixed salary),"₹25,001–₹50,000","Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Flash sales, discounts & offers",1–2,Rarely,"Invest & Grow Wealth|No Specific Goal|Save for Major Purchase (Home, Car)",0% (No savings),Overspending,3 – Moderately confident,4 – Often,"Yes, loosely","Yes, currently using one",3 – Average,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹200–₹499,Probably Yes,Young Urban Professional
R0012,35–44,"Single, no dependents",Tier 2,1,Freelancer or Gig Worker,"₹20,001–₹50,000",Irregular but manageable,"₹25,001–₹50,000","EMIs & Loan Repayments|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social media influence",1–2,Quarterly,"Invest & Grow Wealth|Save for Major Purchase (Home, Car)",21–30%,Low or Irregular Income,3 – Moderately confident,3 – Sometimes,"Yes, loosely","No, never used one",3 – Average,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine,₹49–₹99,Probably Yes,Aspiring Digital-First Millennial
R0013,35–44,"Married, no children",Tier 3,2,Self-employed,"₹20,001–₹50,000",Mostly stable with some variation,"₹50,001–₹1,00,000",Transportation,Sometimes (3–5 times/month),"Flash sales, discounts & offers",6+,Quarterly,Pay Off Debt,1–10%,Low or Irregular Income|Overspending,1 – Not confident at all,4 – Often,"No, but I want to","No, never used one",2 – Low,Neutral,AI Savings Recommendations & Goal Engine,₹100–₹199,Maybe,Gig Worker / Irregular Income
R0014,18–24,"Single, no dependents",Tier 3,0,Student,"₹20,001–₹50,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Healthcare|Rent & Housing|Transportation,Sometimes (3–5 times/month),Emotional stress or boredom,1–2,Rarely,"Invest & Grow Wealth|No Specific Goal|Save for Major Purchase (Home, Car)",0% (No savings),Low or Irregular Income|Unexpected Expenses,3 – Moderately confident,3 – Sometimes,"No, but I want to","No, never used one",4 – High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹0 (Free only),Definitely No,College Student / Early Career
R0015,25–34,Joint family (supporting elders),Rural,3,Self-employed,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Education|Entertainment & Dining Out|Transportation,Often (6+ times/month),"Flash sales, discounts & offers",6+,Quarterly,Invest & Grow Wealth,11–20%,Low or Irregular Income|Overspending,4 – Very confident,2 – Rarely,"No, but I want to",Used before but stopped,4 – High,Very comfortable,Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Probably No,Young Urban Professional
R0016,18–24,"Single, no dependents",Tier 3,1,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"₹10,001–₹25,000","Entertainment & Dining Out|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)",3–5,Monthly,"Build Emergency Fund|Save for Major Purchase (Home, Car)",1–10%,High EMIs or Debt,1 – Not confident at all,3 – Sometimes,"No, and I don't plan to","Yes, currently using one",3 – Average,Somewhat comfortable,Financial Health Score with Peer Benchmarking,₹100–₹199,Maybe,Young Urban Professional
R0017,25–34,"Married, no children",Metro (Tier 1),1,Salaried (Private),"Below ₹20,000",Mostly stable with some variation,"₹25,001–₹50,000",Entertainment & Dining Out|Groceries & Food,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",3–5,Rarely,Invest & Grow Wealth|Save for Vacation,1–10%,High Cost of Living|Low or Irregular Income,5 – Extremely confident,3 – Sometimes,"No, but I want to",Used before but stopped,5 – Very High,Neutral,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹0 (Free only),Definitely Yes,College Student / Early Career
R0018,35–44,"Married, with children",Metro (Tier 1),3,Salaried (Government),"₹20,001–₹50,000",Irregular but manageable,"₹25,001–₹50,000",Entertainment & Dining Out|Rent & Housing|Transportation,Rarely (1–2 times/month),"Emotional stress or boredom|Flash sales, discounts & offers",3–5,Monthly,Children's Education|Invest & Grow Wealth,0% (No savings),Lack of Financial Knowledge,3 – Moderately confident,5 – Almost always,"No, but I want to","No, never used one",4 – High,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Maybe,Middle-Income Family Provider
R0019,18–24,"Married, no children",Metro (Tier 1),2,Self-employed,"₹20,001–₹50,000",Highly unpredictable,"Below ₹10,000",Groceries & Food|Shopping & Fashion,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)",3–5,Monthly,"Retirement Planning|Save for Major Purchase (Home, Car)",0% (No savings),Overspending|Unexpected Expenses,3 – Moderately confident,3 – Sometimes,"No, and I don't plan to","No, never used one",5 – Very High,Somewhat comfortable,Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Maybe,Middle-Income Family Provider
R0020,18–24,"Single, no dependents",Tier 2,1,Student,"Below ₹20,000",Mostly stable with some variation,"₹25,001–₹50,000",Entertainment & Dining Out|Shopping & Fashion,Sometimes (3–5 times/month),Celebrations or festivals|Social media influence,3–5,Quarterly,Build Emergency Fund|Invest & Grow Wealth|Save for Vacation,1–10%,Low or Irregular Income|No Budgeting Discipline,4 – Very confident,4 – Often,"No, and I don't plan to","No, never used one",4 – High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹49–₹99,Maybe,College Student / Early Career
R0021,45–54,Joint family (supporting elders),Rural,3,Self-employed,"₹20,001–₹50,000",Mostly stable with some variation,"Below ₹10,000",EMIs & Loan Repayments|Rent & Housing|Shopping & Fashion,Sometimes (3–5 times/month),I rarely spend impulsively|Social pressure or peer influence,1–2,Rarely,Children's Education,Above 30%,Lack of Financial Knowledge,4 – Very confident,2 – Rarely,"No, but I want to","No, never used one",4 – High,Neutral,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Maybe,Small Town Conservative Saver
R0022,25–34,"Single, no dependents",Tier 2,0,Salaried (Private),"₹50,001–₹1,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",EMIs & Loan Repayments|Groceries & Food|Rent & Housing,Rarely (1–2 times/month),"Celebrations or festivals|Flash sales, discounts & offers",3–5,Quarterly,Invest & Grow Wealth|Save for Vacation,11–20%,High EMIs or Debt|Unexpected Expenses,4 – Very confident,2 – Rarely,"Yes, strictly","No, never used one",4 – High,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹200–₹499,Probably No,Young Urban Professional
R0023,18–24,"Single, no dependents",Tier 2,0,Student,"₹20,001–₹50,000",Irregular but manageable,"Below ₹10,000",Education,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",3–5,Rarely,Invest & Grow Wealth,11–20%,No Budgeting Discipline,4 – Very confident,3 – Sometimes,"Yes, loosely","No, never used one",3 – Average,Neutral,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹0 (Free only),Probably Yes,College Student / Early Career
R0024,45–54,Joint family (supporting elders),Tier 2,4+,Self-employed,"₹1,00,001–₹2,00,000",Mostly stable with some variation,"₹10,001–₹25,000",Groceries & Food|Healthcare,Rarely (1–2 times/month),Celebrations or festivals,1–2,Monthly,Build Emergency Fund|Children's Education|Retirement Planning,11–20%,Overspending|Unexpected Expenses,4 – Very confident,4 – Often,"No, but I want to","No, never used one",4 – High,Neutral,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹0 (Free only),Maybe,Middle-Income Family Provider
R0025,35–44,"Married, with children",Tier 2,1,Salaried (Government),"₹50,001–₹1,00,000",Irregular but manageable,"₹25,001–₹50,000",EMIs & Loan Repayments|Entertainment & Dining Out|Transportation,Rarely (1–2 times/month),"Flash sales, discounts & offers|I rarely spend impulsively",3–5,Quarterly,Pay Off Debt|Save for Vacation,11–20%,Unexpected Expenses,3 – Moderately confident,3 – Sometimes,"No, and I don't plan to","No, never used one",5 – Very High,Neutral,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹200–₹499,Probably No,Middle-Income Family Provider
R0026,45–54,"Married, with children",Metro (Tier 1),2,Freelancer or Gig Worker,"₹20,001–₹50,000",Highly unpredictable,"₹25,001–₹50,000",Groceries & Food|Rent & Housing|Transportation,Rarely (1–2 times/month),Celebrations or festivals|Social pressure or peer influence,3–5,Rarely,Build Emergency Fund|Invest & Grow Wealth|No Specific Goal,0% (No savings),High EMIs or Debt|Unexpected Expenses,2 – Slightly confident,3 – Sometimes,"No, but I want to","No, never used one",3 – Average,Very uncomfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹100–₹199,Definitely No,Gig Worker / Irregular Income
R0027,18–24,"Married, no children",Metro (Tier 1),0,Salaried (Government),"₹50,001–₹1,00,000",Very stable (fixed salary),"₹10,001–₹25,000",Entertainment & Dining Out|Rent & Housing,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)",3–5,Rarely,Build Emergency Fund|Invest & Grow Wealth|Save for Vacation,1–10%,High Cost of Living|Overspending,3 – Moderately confident,3 – Sometimes,"No, but I want to",Used before but stopped,5 – Very High,Neutral,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹200–₹499,Probably Yes,Young Urban Professional
R0028,55+,"Married, with children",Metro (Tier 1),2,Self-employed,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Education|Entertainment & Dining Out|Transportation,Often (6+ times/month),"Flash sales, discounts & offers",3–5,Monthly,Children's Education,11–20%,High Cost of Living|Overspending,2 – Slightly confident,3 – Sometimes,"No, and I don't plan to",Used before but stopped,3 – Average,Very comfortable,Automatic Expense Tracking & Smart Categorization,₹200–₹499,Probably No,Middle-Income Family Provider
R0029,35–44,"Married, with children",Rural,4+,Salaried (Government),"₹1,00,001–₹2,00,000",Irregular but manageable,"₹25,001–₹50,000",Education|Groceries & Food|Shopping & Fashion,Never,I rarely spend impulsively,None,Quarterly,Children's Education,21–30%,Low or Irregular Income|No Budgeting Discipline,3 – Moderately confident,3 – Sometimes,"No, and I don't plan to","No, never used one",5 – Very High,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine,₹0 (Free only),Definitely No,Small Town Conservative Saver
R0030,35–44,"Single, no dependents",Metro (Tier 1),1,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹10,001–₹25,000","Entertainment & Dining Out|Groceries & Food|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",3–5,Monthly,Build Emergency Fund|Retirement Planning,1–10%,High EMIs or Debt|Overspending,3 – Moderately confident,2 – Rarely,"No, and I don't plan to","No, never used one",3 – Average,Somewhat uncomfortable,Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Maybe,Young Urban Professional
R0031,25–34,"Single, with dependents",Tier 3,1,Self-employed,"Below ₹20,000",Highly unpredictable,"₹25,001–₹50,000",Education|Groceries & Food|Healthcare,Sometimes (3–5 times/month),Celebrations or festivals|I rarely spend impulsively,1–2,Rarely,Build Emergency Fund|Children's Education,11–20%,Unexpected Expenses,5 – Extremely confident,4 – Often,"No, but I want to","No, never used one",2 – Low,Somewhat uncomfortable,Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Definitely Yes,Small Town Conservative Saver
R0032,25–34,"Married, no children",Tier 3,1,Self-employed,"₹20,001–₹50,000",Very stable (fixed salary),"₹10,001–₹25,000",Entertainment & Dining Out|Groceries & Food|Shopping & Fashion,Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social media influence",6+,Quarterly,Invest & Grow Wealth|Retirement Planning|Save for Vacation,1–10%,High Cost of Living|Overspending,3 – Moderately confident,3 – Sometimes,"Yes, loosely","No, never used one",5 – Very High,Neutral,Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹49–₹99,Probably Yes,Young Urban Professional
R0033,25–34,"Married, with children",Metro (Tier 1),2,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Irregular but manageable,"₹25,001–₹50,000",Entertainment & Dining Out|Rent & Housing|Shopping & Fashion,Often (6+ times/month),Social pressure or peer influence,3–5,Quarterly,Build Emergency Fund|Children's Education|Invest & Grow Wealth,11–20%,High Cost of Living|Unexpected Expenses,3 – Moderately confident,2 – Rarely,"No, and I don't plan to","No, never used one",3 – Average,Very comfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹49–₹99,Maybe,Young Urban Professional
R0034,25–34,Joint family (supporting elders),Metro (Tier 1),3,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Highly unpredictable,"₹25,001–₹50,000",Entertainment & Dining Out|Groceries & Food|Shopping & Fashion,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",1–2,Monthly,Build Emergency Fund|Invest & Grow Wealth,Above 30%,High EMIs or Debt|Lack of Financial Knowledge,4 – Very confident,2 – Rarely,"Yes, loosely","No, never used one",5 – Very High,Very comfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Probably Yes,Aspiring Digital-First Millennial
R0035,18–24,"Married, with children",Rural,2,Salaried (Government),"₹50,001–₹1,00,000",Very stable (fixed salary),"₹10,001–₹25,000",Education|Rent & Housing|Transportation,Sometimes (3–5 times/month),"Emotional stress or boredom|Flash sales, discounts & offers",6+,Monthly,Build Emergency Fund|Children's Education|Save for Vacation,21–30%,High Cost of Living|Overspending,5 – Extremely confident,4 – Often,"Yes, loosely",Used before but stopped,4 – High,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹100–₹199,Maybe,Aspiring Digital-First Millennial
R0036,25–34,"Married, no children",Metro (Tier 1),0,Self-employed,"Below ₹20,000",Highly unpredictable,"₹10,001–₹25,000",Groceries & Food,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",1–2,Monthly,"Build Emergency Fund|Save for Major Purchase (Home, Car)",11–20%,High EMIs or Debt|Lack of Financial Knowledge,5 – Extremely confident,2 – Rarely,"No, and I don't plan to","No, never used one",3 – Average,Neutral,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹0 (Free only),Definitely Yes,Gig Worker / Irregular Income
R0037,18–24,"Married, with children",Metro (Tier 1),2,Student,"Below ₹20,000",Irregular but manageable,"₹10,001–₹25,000","Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),Celebrations or festivals|Social pressure or peer influence,3–5,Quarterly,Children's Education,11–20%,Lack of Financial Knowledge|Unexpected Expenses,3 – Moderately confident,3 – Sometimes,"Yes, loosely",Used before but stopped,1 – Very Low,Very comfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹500+,Maybe,College Student / Early Career
R0038,18–24,"Married, no children",Metro (Tier 1),0,Salaried (Private),"₹1,00,001–₹2,00,000",Irregular but manageable,"₹50,001–₹1,00,000",Entertainment & Dining Out|Rent & Housing,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",3–5,Monthly,Build Emergency Fund|Invest & Grow Wealth|Pay Off Debt,11–20%,Overspending,3 – Moderately confident,2 – Rarely,"No, but I want to",Used before but stopped,3 – Average,Somewhat uncomfortable,Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹0 (Free only),Probably Yes,Young Urban Professional
R0039,25–34,"Married, no children",Metro (Tier 1),1,Salaried (Private),"Above ₹2,00,000",Very stable (fixed salary),"₹25,001–₹50,000",Other|Rent & Housing|Shopping & Fashion,Often (6+ times/month),Celebrations or festivals|Social pressure or peer influence,6+,Never,Save for Vacation,11–20%,High EMIs or Debt|No Budgeting Discipline,3 – Moderately confident,4 – Often,"No, and I don't plan to","Yes, currently using one",5 – Very High,Very uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Maybe,High-Income Low-Awareness Spender
R0040,35–44,Joint family (supporting elders),Metro (Tier 1),2,Salaried (Government),"Below ₹20,000",Irregular but manageable,"₹25,001–₹50,000",Education|Groceries & Food|Rent & Housing,Sometimes (3–5 times/month),Celebrations or festivals|Emotional stress or boredom,1–2,Rarely,"Children's Education|Pay Off Debt|Save for Major Purchase (Home, Car)",11–20%,No Budgeting Discipline|Unexpected Expenses,4 – Very confident,4 – Often,"No, but I want to","No, never used one",3 – Average,Very uncomfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Maybe,Middle-Income Family Provider
R0041,35–44,"Single, no dependents",Tier 2,2,Self-employed,"₹20,001–₹50,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Entertainment & Dining Out|Groceries & Food|Healthcare,Sometimes (3–5 times/month),Social media influence,1–2,Rarely,Build Emergency Fund|Invest & Grow Wealth,1–10%,High EMIs or Debt|No Budgeting Discipline,3 – Moderately confident,3 – Sometimes,"No, but I want to","Yes, currently using one",3 – Average,Neutral,AI Savings Recommendations & Goal Engine,₹49–₹99,Maybe,Young Urban Professional
R0042,35–44,"Married, no children",Tier 2,3,Salaried (Government),"₹50,001–₹1,00,000",Highly unpredictable,"₹10,001–₹25,000",Education|Groceries & Food|Rent & Housing,Sometimes (3–5 times/month),Celebrations or festivals|Social pressure or peer influence,1–2,Monthly,Children's Education|Save for Vacation,1–10%,No Budgeting Discipline|Unexpected Expenses,5 – Extremely confident,5 – Almost always,"No, and I don't plan to","No, never used one",2 – Low,Somewhat comfortable,Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹100–₹199,Maybe,Middle-Income Family Provider
R0043,18–24,"Single, no dependents",Metro (Tier 1),0,Salaried (Private),"₹20,001–₹50,000",Mostly stable with some variation,"₹25,001–₹50,000",EMIs & Loan Repayments|Groceries & Food,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",6+,Quarterly,Retirement Planning,1–10%,No Budgeting Discipline|Unexpected Expenses,3 – Moderately confident,2 – Rarely,"Yes, loosely","Yes, currently using one",4 – High,Somewhat comfortable,Financial Health Score with Peer Benchmarking,₹49–₹99,Maybe,Young Urban Professional
R0044,35–44,"Single, no dependents",Metro (Tier 1),0,Unemployed,"₹50,001–₹1,00,000",Highly unpredictable,"₹25,001–₹50,000","Entertainment & Dining Out|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),Social media influence,6+,Quarterly,Build Emergency Fund|Invest & Grow Wealth|Pay Off Debt,Above 30%,High EMIs or Debt,3 – Moderately confident,2 – Rarely,"No, but I want to","No, never used one",5 – Very High,Very comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹100–₹199,Probably Yes,Aspiring Digital-First Millennial
R0045,25–34,"Married, no children",Metro (Tier 1),3,Freelancer or Gig Worker,"₹20,001–₹50,000",Irregular but manageable,"₹25,001–₹50,000","Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Convenience (food delivery, cabs, etc.)",1–2,Never,"No Specific Goal|Save for Major Purchase (Home, Car)",0% (No savings),Lack of Financial Knowledge|No Budgeting Discipline,3 – Moderately confident,4 – Often,"No, but I want to",Used before but stopped,4 – High,Very comfortable,Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Maybe,College Student / Early Career
